OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
3175,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3176,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3177,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
3178,570.6,594.2,424.5,532.5,559.1,488.9,417.5,523,426.7,466.2,433.9,386,352.8,459.1,419.5,392.7,302,347.4,225.7,232.9
3179,236.8,258.9,175.7,235.4,258,209.9,156.5,233.8,163.3,193.2,174.8,138.3,140.3,174,151.7,147.1,116.1,144.5,90.2,94
3203,88.2,99.7,65.4,91.5,102.9,80.1,53.9,91.5,57.2,71.9,63.7,45.7,50.6,60.4,50.6,50.6,40.8,53.9,32.7,34.3
3204,104.9,118.5,77.7,108.8,122.4,95.2,64.1,108.8,68,85.5,75.8,54.4,60.2,71.9,60.2,60.2,48.6,64.1,38.9,40.8
3205,146.6,165.6,108.6,152,171,133,89.6,152,95,119.4,105.8,76,84.1,100.4,84.1,84.1,67.8,89.6,54.3,57
3206,162.8,183.9,120.6,168.8,189.9,147.7,99.5,168.8,105.5,132.7,117.6,84.4,93.5,111.6,93.5,93.5,75.4,99.5,60.3,63.3
3207,457.3,516.6,338.7,474.2,533.5,415,279.5,474.2,296.4,372.6,330.3,237.1,262.5,313.3,262.5,262.5,211.7,279.5,169.4,177.8
3208,24.3,27.5,18,25.2,28.4,22.1,14.9,25.2,15.8,19.8,17.6,12.6,14,16.7,14,14,11.3,14.9,9,9.5
3209,5.1,5.8,3.8,5.3,5.9,4.6,3.1,5.3,3.3,4.2,3.7,2.6,2.9,3.5,2.9,2.9,2.4,3.1,1.9,2
3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3212,34.6,39.1,25.6,35.9,40.4,31.4,21.1,35.9,22.4,28.2,25,17.9,19.9,23.7,19.9,19.9,16,21.1,12.8,13.5
3213,107.8,120.6,80.2,112.4,124.8,97.6,67.9,111.1,71,88.6,78.5,57.4,63.3,74.6,63,62.2,50.2,64.7,39.7,41.4
3214,108,122,80,112,126,98,66,112,70,88,78,56,62,74,62,62,50,66,40,42
3215,147,164.4,109.4,153.4,170.2,133.1,92.8,151.5,97,120.9,107.1,78.4,86.5,101.8,86.1,84.8,68.5,88.2,54.2,56.4
3216,215.8,216.2,167.7,238.9,230,191.2,179.5,208.2,167.2,194.4,170.6,146.4,157.3,165.2,150.8,130.4,107.6,105.1,75.5,70.8
